chromosome	start	end	gene
2	179489191	179489458	TTN
2	179489999	179490123	TTN
2	179494027	179494170	TTN
2	179494967	179495094	TTN
2	179495530	179495670	TTN
2	179495760	179496027	TTN
2	179496873	179497163	TTN,TTN-AS1
2	179497252	179497519	TTN
2	179497644	179497771	TTN
2	179497913	179498053	TTN
2	179498139	179498403	TTN
2	179498543	179498810	TTN
2	179499092	179499356	TTN
2	179499449	179499576	TTN
2	179499891	179500031	TTN
2	179500166	179500442	TTN
2	179500689	179500968	TTN
2	179501124	179501526	TTN,TTN-AS1
2	179502095	179502146	TTN
2	179504425	179504515	TTN
2	179504774	179504837	TTN
2	179505267	179505357	TTN
2	179505967	179506042	TTN
2	179506963	179507044	TTN
2	179509020	179509228	TTN-AS1
2	179509274	179509343	TTN
2	179510453	179510757	TTN,TTN-AS1
2	179511211	179511286	TTN
2	179511790	179511871	TTN
2	179512107	179512191	TTN
2	179513974	179514058	TTN
2	179514280	179514358	TTN
2	179514543	179514621	TTN
2	179514890	179514998	TTN
2	179515477	179515561	TTN
2	179515969	179516047	TTN
2	179516179	179516263	TTN
2	179516392	179516476	TTN
2	179516610	179516694	TTN
2	179516822	179516906	TTN
2	179516990	179517074	TTN
2	179517184	179517268	TTN
2	179517379	179517463	TTN
2	179517574	179517658	TTN
2	179517767	179517851	TTN
2	179517964	179518048	TTN
2	179518153	179518234	TTN
2	179518347	179518428	TTN
2	179518543	179518624	TTN
2	179518738	179518822	TTN
2	179518934	179519018	TTN
2	179519171	179519261	TTN
2	179519471	179519555	TTN
2	179519638	179519722	TTN
2	179522224	179522308	TTN
2	179522413	179522494	TTN
2	179522607	179522688	TTN
2	179522803	179522884	TTN
2	179522998	179523082	TTN
2	179523194	179523278	TTN
2	179523431	179523521	TTN
2	179523731	179523815	TTN
2	179523898	179523982	TTN
2	179526485	179526569	TTN
2	179526674	179526755	TTN
2	179526868	179526949	TTN
2	179527064	179527145	TTN
2	179527259	179527343	TTN
2	179527455	179527539	TTN
2	179527692	179527782	TTN
2	179527992	179528076	TTN
2	179528159	179528243	TTN
2	179528353	179528437	TTN
2	179528545	179528629	TTN
2	179528741	179528825	TTN
2	179529186	179529264	TTN
2	179529380	179529464	TTN
2	179529578	179529653	TTN
2	179530103	179530187	TTN
2	179530434	179530518	TTN
2	179531550	179531628	TTN
2	179531962	179532046	TTN
2	179532168	179532252	TTN
2	179532364	179532448	TTN
2	179534099	179534174	TTN
2	179534318	179534402	TTN
2	179534944	179535022	TTN
2	179535816	179535897	TTN
2	179536697	179536994	TTN
2	179537133	179537208	TTN
2	179537361	179537430	TTN
2	179538359	179538437	TTN
2	179539040	179539136	TTN
2	179539765	179540004	TTN,TTN-AS1
2	179540397	179540481	TTN
2	179540647	179540832	TTN,TTN-AS1
2	179541927	179542014	TTN
2	179542226	179542644	TTN,TTN-AS1
2	179542851	179542935	TTN
2	179543140	179543306	TTN,TTN-AS1
2	179543473	179543557	TTN
2	179544065	179544143	TTN
2	179544325	179544409	TTN
2	179544620	179544782	TTN
2	179544980	179545058	TTN
2	179545805	179545898	TTN
2	179546102	179546177	TTN
2	179546387	179546465	TTN
2	179547423	179547630	TTN
2	179547937	179548018	TTN
2	179548725	179548809	TTN
2	179549056	179549140	TTN
2	179549392	179549476	TTN
2	179549632	179549716	TTN
2	179549979	179550057	TTN
2	179550244	179550325	TTN
2	179552837	179552951	TTN
2	179553403	179553505	TTN
2	179553779	179553863	TTN
2	179554016	179554100	TTN
2	179554241	179554322	TTN
2	179554539	179554623	TTN
2	179556742	179556826	TTN
2	179557223	179557307	TTN
2	179558335	179558416	TTN
2	179558648	179558735	TTN
2	179559234	179559403	TTN,TTN-AS1
2	179559555	179559633	TTN
2	179560074	179560137	TTN
2	179560591	179560996	TTN
2	179561847	179561895	TTN
2	179563569	179563641	TTN
2	179565846	179565930	TTN
2	179566254	179566314	TTN
2	179566766	179566793	TTN
2	179566894	179566972	TTN
2	179567180	179567390	TTN
2	179568873	179569134	TTN
2	179569236	179569504	TTN
2	179569603	179569693	TTN
2	179569900	179570084	TTN
2	179571180	179571466	TTN
2	179571588	179571681	TTN
2	179572252	179572540	TTN
2	179574292	179574583	TTN
2	179575361	179575649	TTN
2	179575788	179576076	TTN
2	179576670	179576949	TTN
2	179577041	179577320	TTN
2	179577423	179577702	TTN
2	179577811	179578099	TTN
2	179578480	179578965	TTN,TTN-AS1
2	179579018	179579300	TTN
2	179579712	179579991	TTN
2	179580219	179580501	TTN
2	179581821	179582109	TTN
2	179582249	179582537	TTN
2	179582669	179582948	TTN
2	179583048	179583327	TTN
2	179583421	179583700	TTN
2	179583890	179584178	TTN
2	179584280	179584559	TTN
2	179584709	179584991	TTN
2	179585111	179585390	TTN
2	179585647	179585929	TTN
2	179586573	179586861	TTN
2	179586985	179587273	TTN
2	179587385	179587664	TTN
2	179587772	179588051	TTN
2	179588144	179588423	TTN
2	179588582	179588870	TTN
2	179588986	179589265	TTN
2	179590094	179590376	TTN
2	179590494	179590773	TTN
2	179591816	179592098	TTN
2	179592311	179592590	TTN
2	179592836	179593124	TTN
2	179593226	179593505	TTN
2	179593617	179593896	TTN
2	179594014	179594293	TTN
2	179594390	179594672	TTN
2	179594819	179595098	TTN
2	179595231	179595519	TTN
2	179595651	179595930	TTN
2	179596031	179596310	TTN
2	179596419	179596698	TTN
2	179596792	179597074	TTN
2	179597166	179597445	TTN
2	179597560	179597848	TTN,TTN-AS1
2	179597965	179598244	TTN
2	179598340	179598619	TTN,TTN-AS1
2	179599054	179599356	TTN,TTN-AS1
2	179599433	179599715	TTN
2	179600237	179600801	TTN,TTN-AS1
2	179602660	179603087	TTN,TTN-AS1
2	179603867	179606648	TTN
2	179607607	179607697	TTN-AS1
2	179609131	179616766	TTN,TTN-AS1
2	179617850	179617907	TTN
2	179620948	179621524	TTN,TTN-AS1
2	179622268	179622643	TTN
2	179623480	179623899	TTN,TTN-AS1
2	179625666	179625753	TTN-AS1
2	179628903	179629538	TTN,TTN-AS1
2	179631107	179631339	TTN
2	179632485	179632651	TTN
2	179632740	179632882	TTN
2	179633399	179633660	TTN
2	179634405	179634666	TTN
2	179634786	179635047	TTN
2	179635138	179635402	TTN
2	179635937	179636198	TTN
2	179637673	179638096	TTN,TTN-AS1
2	179638188	179638452	TTN
2	179638564	179638837	TTN
2	179638933	179639402	TTN,TTN-AS1
2	179639647	179639929	TTN
2	179640082	179641776	TTN
2	179641875	179642044	TTN
2	179642146	179642311	TTN
2	179642430	179642702	TTN
2	179643600	179643845	TTN
2	179643955	179644189	TTN
2	179644726	179644932	TTN
2	179645847	179645990	TTN
2	179646938	179647154	TTN
2	179647265	179647329	TTN
2	179647532	179647791	TTN
2	179648446	179648512	TTN
2	179648796	179649078	TTN
2	179650346	179650469	TTN
2	179650574	179650868	TTN
2	179654086	179654224	TTN
2	179654704	179654842	TTN
2	179655434	179655572	TTN
2	179656798	179656924	TTN
2	179658130	179658268	TTN
2	179659125	179659278	TTN
2	179659648	179659979	TTN
2	179664213	179664458	TTN
2	179664551	179664637	TTN
2	179665121	179665409	TTN
2	179666864	179667068	TTN
2	179669278	179669382	TTN
2	179671938	179672150	TTN
2	179682252	179682407	TTN
2	179690039	179690222	TTN
2	179695391	179695529	TTN
2	187454791	187455250	ITGAV
2	187464931	187465108	ITGAV
2	187466747	187466878	ITGAV
2	187487065	187487157	ITGAV
2	187490199	187490314	ITGAV
2	187495523	187495585	ITGAV
2	187498055	187498101	ITGAV
2	187500808	187500934	ITGAV
2	187501791	187501836	ITGAV
2	187503003	187503047	ITGAV
2	187503135	187503192	ITGAV
2	187505641	187505694	ITGAV
2	187506112	187506315	ITGAV
2	187511412	187511604	ITGAV
2	187514566	187514612	ITGAV
2	187516708	187516816	ITGAV
2	187519376	187519435	ITGAV
2	187520973	187521128	ITGAV
2	187523764	187523902	ITGAV
2	187528494	187528562	ITGAV
2	187529220	187529368	ITGAV
2	187529852	187529945	ITGAV
2	187531430	187531510	ITGAV
2	187531876	187531957	ITGAV
2	187532397	187532503	ITGAV
2	187533488	187533647	ITGAV
2	187534427	187534684	ITGAV
2	187540330	187540444	ITGAV
2	187540546	187541010	ITGAV
2	187541539	187541662	ITGAV
2	187541923	187545628	ITGAV
20	62037541	62038728	KCNQ2
20	62039765	62039889	KCNQ2
20	62042369	62042375	KCNQ2
20	62043127	62043235	KCNQ2
20	62044760	62044766	KCNQ2
20	62044802	62044934	KCNQ2
20	62045440	62045546	KCNQ2
20	62046255	62046479	KCNQ2
20	62050971	62051025	KCNQ2
20	62055529	62055559	KCNQ2
20	62059719	62059788	KCNQ2
20	62062692	62062722	KCNQ2
20	62065030	62065256	KCNQ2
20	62065565	62065788	KCNQ2
20	62065932	62066083	KCNQ2
20	62069977	62070073	KCNQ2
20	62070950	62071061	KCNQ2
20	62073758	62073884	KCNQ2
20	62076011	62076187	KCNQ2
20	62076590	62076717	KCNQ2
20	62078099	62078190	KCNQ2
20	62103520	62103993	KCNQ2
20	62289162	62289819	RTEL1
20	62289982	62290066	RTEL1
20	62290585	62290857	RTEL1
20	62292028	62292149	RTEL1
20	62292650	62292849	RTEL1
20	62293096	62293296	RTEL1
20	62293748	62293980	RTEL1
20	62294181	62294242	RTEL1
20	62296418	62296653	RTEL1
20	62297356	62297432	RTEL1
20	62298821	62298906	RTEL1
20	62303908	62303974	RTEL1
20	62305292	62305446	RTEL1
20	62309497	62309536	RTEL1
20	62309620	62309699	RTEL1
20	62311201	62311299	RTEL1
20	62312016	62312072	RTEL1
20	62316875	62316950	RTEL1
20	62317143	62317225	RTEL1
20	62318990	62319123	RTEL1
20	62319289	62319403	RTEL1
20	62319491	62319532	RTEL1
20	62319653	62319739	RTEL1
20	62319880	62319958	RTEL1
20	62320407	62320485	RTEL1
20	62320854	62321001	RTEL1
20	62321102	62321218	RTEL1
20	62321318	62321563	RTEL1
20	62321646	62321794	RTEL1
20	62322157	62322300	RTEL1
20	62323094	62323190	RTEL1
20	62324157	62324356	RTEL1
20	62324495	62324636	RTEL1
20	62325724	62325841	RTEL1
20	62326093	62326327	RTEL1
20	62326418	62326574	RTEL1
20	62326680	62327003	RTEL1
20	62327130	62327606	RTEL1
20	62328112	62328416	RTEL1
20	62783143	62783263	MYT1
20	62795826	62796092	MYT1
20	62821415	62821513	MYT1
20	62830214	62830269	MYT1
20	62831244	62831275	MYT1
20	62836387	62836450	MYT1
20	62836905	62837153	MYT1
20	62838946	62839840	MYT1
20	62842558	62842693	MYT1
20	62843400	62843491	MYT1
20	62844886	62845000	MYT1
20	62848419	62848634	MYT1
20	62850182	62850388	MYT1
20	62851065	62851335	MYT1
20	62853245	62853400	MYT1
20	62854463	62854526	MYT1
20	62854643	62854712	MYT1
20	62858767	62858830	MYT1
20	62859240	62859453	MYT1
20	62863516	62863738	MYT1
20	62867907	62867999	MYT1
20	62868639	62868743	MYT1
20	62871112	62871256	MYT1
20	62871672	62873604	MYT1
3	10182691	10183871	VHL
3	10184229	10184705	VHL
3	10188197	10188320	VHL
3	10191470	10193904	VHL
5	1253281	1253946	TERT
5	1254482	1254620	TERT
5	1255401	1255526	TERT
5	1258712	1258774	TERT
5	1260588	1260715	TERT
5	1264518	1264707	TERT
5	1266564	1266650	TERT
5	1268634	1268748	TERT
5	1271233	1271319	TERT
5	1272299	1272395	TERT
5	1278755	1278911	TERT
5	1279405	1279585	TERT
5	1280272	1280453	TERT
5	1282543	1282739	TERT
5	1293427	1294781	TERT
5	1294885	1295184	TERT
6	32780539	32781028	HLA-DOB
6	32781216	32781248	HLA-DOB
6	32781499	32781610	HLA-DOB,TAP2
6	32782096	32782378	HLA-DOB,TAP2
6	32782820	32783090	HLA-DOB,TAP2
6	32784637	32784825	HLA-DOB,TAP2
6	32789609	32790095	TAP2
6	32793191	32796811	TAP2
6	32797176	32797313	TAP2
6	32797706	32797866	TAP2
6	32798043	32798217	TAP2
6	32798394	32798583	TAP2
6	32800071	32800238	TAP2
6	32800403	32800601	TAP2
6	32802930	32803136	TAP2
6	32803419	32803550	TAP2
6	32805313	32805428	TAP2
6	32805517	32806014	TAP2
6	32806429	32806599	TAP2
8	57073462	57080062	PLAG1
8	57080586	57080945	PLAG1
8	57083649	57083748	PLAG1
8	57091967	57092072	PLAG1
8	57121811	57122042	PLAG1
8	57123679	57123883	PLAG1
